State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Year,Month,Day,Volatility
Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Grapes,Annabesahai,Local,2026-12-03,8000,8000,8000,2026,12,3,0
Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Potato,Other,Local,2026-12-03,2800,2800,2800,2026,12,3,0
Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,2026-12-03,4000,4000,4000,2026,12,3,0
Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Cabbage,Cabbage,Local,2026-12-03,2600,2600,2600,2026,12,3,0
Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Ridgeguard(Tori),Ridgeguard(Tori),Local,2026-12-03,3400,3400,3400,2026,12,3,0
Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Raddish,Raddish,Local,2026-12-03,2600,2600,2600,2026,12,3,0
Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Mango(Raw-Ripe),Mango - Raw-Ripe,Local,2026-12-03,8000,8000,8000,2026,12,3,0
Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Knool Khol,Knool Khol,Local,2026-12-03,2600,2600,2600,2026,12,3,0
Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Onion Green,Onion Green,Local,2026-12-03,3600,3600,3600,2026,12,3,0
Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Banana - Green,Banana - Green,Local,2026-12-03,2000,2500,2250,2026,12,3,500
Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Brinjal,Round,Local,2026-12-03,4000,4500,4250,2026,12,3,500
Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Pumpkin,Pumpkin,Local,2026-12-03,1000,1500,1250,2026,12,3,500
Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Coconut,Coconut,Local,2026-12-03,6000,6500,6250,2026,12,3,500
Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Thondekai,Thondekai,Local,2026-12-03,3500,4000,3750,2026,12,3,500
Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Capsicum,Capsicum,Local,2026-12-03,5000,5500,5250,2026,12,3,500
Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Tender Coconut,Tender Coconut,Local,2026-12-03,3500,4000,3750,2026,12,3,500
Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,2026-12-03,2500,3000,2750,2026,12,3,500
Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Yam(Ratalu),Yam (Ratalu),Local,2026-12-03,4000,5000,4500,2026,12,3,1000
Tamil Nadu,Thiruchirappalli,Thiruverumbur(Uzhavar Sandhai ) APMC,Cowpea(Veg),Cowpea (Veg),Local,2026-12-03,3000,3000,3000,2026,12,3,0
Tamil Nadu,Thiruchirappalli,Thiruverumbur(Uzhavar Sandhai ) APMC,Garlic,Garlic,Local,2026-12-03,16000,18000,17000,2026,12,3,2000
Tamil Nadu,Thiruchirappalli,Thiruverumbur(Uzhavar Sandhai ) APMC,Bitter gourd,Other,Local,2026-12-03,3600,3600,3600,2026,12,3,0
Tamil Nadu,Thiruchirappalli,Thiruverumbur(Uzhavar Sandhai ) APMC,Pumpkin,Pumpkin,Local,2026-12-03,1600,1600,1600,2026,12,3,0
Tamil Nadu,Thiruchirappalli,Thiruverumbur(Uzhavar Sandhai ) APMC,Cabbage,Cabbage,Local,2026-12-03,2500,2500,2500,2026,12,3,0
Tamil Nadu,Thiruchirappalli,Thiruverumbur(Uzhavar Sandhai ) APMC,Ridgeguard(Tori),Ridgeguard(Tori),Local,2026-12-03,3600,3600,3600,2026,12,3,0
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Brinjal,Round,Local,2026-12-03,4600,4600,4600,2026,12,3,0
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Papaya,Papaya,Local,2026-12-03,4600,4600,4600,2026,12,3,0
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2026-12-03,4600,4600,4600,2026,12,3,0
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Ridgeguard(Tori),Ridgeguard(Tori),Local,2026-12-03,3600,3600,3600,2026,12,3,0
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Thondekai,Thondekai,Local,2026-12-03,3600,3600,3600,2026,12,3,0
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Green Avare(W),Green Avare (W),Local,2026-12-03,4600,5600,5100,2026,12,3,1000
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Yam(Ratalu),Yam (Ratalu),Local,2026-12-03,5000,5000,5000,2026,12,3,0
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Amla(Nelli Kai),Amla,Local,2026-12-03,7000,7000,7000,2026,12,3,0
Tamil Nadu,Thiruchirappalli,Manachanallur(Uzhavar Sandhai ) APMC,Cluster beans,Cluster Beans,Local,2026-12-03,3500,3500,3500,2026,12,3,0
Tamil Nadu,Vellore,Gudiyatham(Uzhavar Sandhai ) APMC,Green Chilli,Green Chilly,Local,2026-12-03,5600,5600,5600,2026,12,3,0
Tamil Nadu,Vellore,Gudiyatham(Uzhavar Sandhai ) APMC,Banana,Poovan,Local,2026-12-03,5000,5000,5000,2026,12,3,0
