Commodity,Bihar,Himachal Pradesh,Kerala,Madhya Pradesh,Odisha,Punjab,Rajasthan,Tamil Nadu,Uttar Pradesh,Uttarakhand,West Bengal
Amaranthus,,,2800.0,,,,,2559.09,,,
Amla(Nelli Kai),,,,,,,,6979.17,,,
Apple,,13800.0,,,,,,20500.0,7300.0,6000.0,
Arhar Dal(Tur Dal),,,,,,,,,,,12150.0
Arhar(Tur/Red Gram)(Whole),,,,,,,,5500.0,,,
Ashgourd,,,1900.0,,,,,2122.41,,,
Banana,,4900.0,4100.0,,,,,4826.47,1300.0,800.0,
Banana - Green,,,2500.0,,,,,3365.71,,,
Beans,,,,,,,,6143.94,,,
Beetroot,,3450.0,3100.0,,,,1800.0,3033.33,,,
Betal Leaves,,,,,,,,6250.0,,,
Bhindi(Ladies Finger),,,3600.0,,,1010.0,3800.0,4115.28,,,
Bitter gourd,,,4100.0,,,,2800.0,3862.86,2200.0,,
Bottle gourd,,,2100.0,,1500.0,,900.0,1786.11,1700.0,1500.0,
Brinjal,,,2100.0,,1800.0,2562.5,600.0,3002.78,1800.0,,2550.0
Cabbage,,,2500.0,,1500.0,1200.0,,2268.33,,,
Capsicum,,4100.0,4600.0,,,,3300.0,5781.82,,,
Carrot,,,4700.0,,,1310.0,,3845.16,,1000.0,
Cauliflower,,,4100.0,,1800.0,825.0,,3126.67,2200.0,500.0,
Chikoos(Sapota),,5750.0,,,,,,3588.89,,,
Chow Chow,,,,,,,,2498.08,,,
Cluster beans,,,,,,,,4001.67,,,
Coconut,,,6000.0,,,,,5148.53,,,
Colacasia,,,4600.0,,,,,4265.38,,1600.0,
Coriander(Leaves),,,,,,,,4512.5,,,
Cowpea(Veg),,,5600.0,,,,,3476.47,,,
Cucumbar(Kheera),,2500.0,1700.0,,,,1300.0,3447.37,1700.0,,
Drumstick,,,3600.0,,,,,4912.07,,,
Elephant Yam(Suran)/Amorphophallus,,,,,,,,3625.0,,,
Field Pea,,,,,,,,,,1800.0,
French Beans(Frasbean),,,6900.0,,,,,,,,
Galgal(Lemon),,,11500.0,,,,,,,,
Garlic,,,11500.0,,,,,15526.32,,,
Ginger(Green),,9100.0,,,,,4300.0,7635.0,,2200.0,6650.0
Grapes,,12500.0,,,,,,9000.0,8700.0,,
Green Avare(W),,,,,,,,4791.18,,,
Green Chilli,,,3900.0,,,2925.0,3300.0,4294.12,2700.0,4500.0,
Green Gram Dal(Moong Dal),,,,,,,,,,,12065.0
Green Peas,,,,,,,,5229.17,,,
Groundnut,,,,,,,,6918.75,,,
Guava,,6900.0,,,,,,4925.0,,2800.0,
Indian Beans(Seam),,,,,,,,4750.0,,,
Jasmine,,,,,,,,37500.0,,,
Kakada,,,,,,,,52500.0,,,
Karbuja(Musk Melon),,,,,,,,3250.0,,,
Kinnow,,,,,,,,,,1800.0,
Knool Khol,,,,,,,,3031.25,,,
Lemon,,14200.0,,,,,6300.0,10306.45,,,
Lime,,,,,,,,9444.44,,,
Mango,,,,,,,,8250.0,,,
Mango(Raw-Ripe),,,,,,,,7491.18,,,
Marigold(Calcutta),,,,,,,,18750.0,,,
Mashrooms,,,,,,,,20750.0,,,
Masur Dal,,,,,,,,,,,9825.0
Mint(Pudina),,,,,,,,3180.65,,,
Mousambi(Sweet Lime),,5300.0,,,,,,4125.0,,,
Mustard,,,,,,,,,,,6450.0
Onion,,2150.0,2850.0,,,1140.0,,2664.29,,1400.0,1850.0
Onion Green,,,,,,,,3559.68,,,
Orange,,9100.0,,,,,,10250.0,,,
Paddy(Common),,,,,,,,1900.0,,,
Papaya,,4650.0,,,,,,3366.67,,1600.0,
Pea Pod/Pea Cod/हरी मटर,,,,,,,,,1600.0,,
Peas Wet,,3900.0,,,,1800.0,,,,,
Peas(Dry),,,,,,,,,,,6550.0
Pineapple,,5100.0,,,,,,3750.0,,,
Pomegranate,,12200.0,,,,,,21000.0,,5500.0,
Potato,1100.0,850.0,2700.0,,,560.0,,3092.19,,,860.0
Pumpkin,,,1900.0,,1200.0,2500.0,,1948.33,,,
Raddish,,,,,,400.0,,2393.55,,,
Rice,,,,,,,,,,,4850.0
Ridgeguard(Tori),,,,,,,1800.0,3981.67,,,
Rose(Local),,,,,,,,19750.0,,,
Snakeguard,,,3100.0,,,,,2785.94,,,
Soyabean,,,,,,,,9416.67,,,
Sweet Potato,,,,,,,,3480.77,,,
Sweet Pumpkin,,,,,,,,,,,1550.0
Tamarind Fruit,,,,,,,,14583.33,,,
Tapioca,,,,,,,,2982.14,,,
Tender Coconut,,,,,,,,3283.33,,,
Thondekai,,,,,,,,3946.88,,,
Tinda,,,,,,,1800.0,,,,
Tomato,,2900.0,3100.0,,,985.0,900.0,1472.86,1800.0,1600.0,1700.0
Turnip,,,,,,,,3500.0,,,
Water Melon,,2700.0,,,,,,2130.0,,,
Wheat,,,,2168.33,,,,,,,2700.0
Yam(Ratalu),,,,,,,,4770.59,,,
