Arrival_Date,State,District,Market,Commodity,Min_Price,Max_Price,Modal_Price,Volatility
2026-12-03,Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Grapes,8000,8000,8000,0
2026-12-03,Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Potato,2800,2800,2800,0
2026-12-03,Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Papaya,4000,4000,4000,0
2026-12-03,Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Cabbage,2600,2600,2600,0
2026-12-03,Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Ridgeguard(Tori),3400,3400,3400,0
2026-12-03,Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Raddish,2600,2600,2600,0
2026-12-03,Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Mango(Raw-Ripe),8000,8000,8000,0
2026-12-03,Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Knool Khol,2600,2600,2600,0
2026-12-03,Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,Onion Green,3600,3600,3600,0
2026-12-03,Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Banana - Green,2000,2500,2250,500
2026-12-03,Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Brinjal,4000,4500,4250,500
2026-12-03,Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Pumpkin,1000,1500,1250,500
2026-12-03,Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Coconut,6000,6500,6250,500
2026-12-03,Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Thondekai,3500,4000,3750,500
2026-12-03,Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Capsicum,5000,5500,5250,500
2026-12-03,Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Tender Coconut,3500,4000,3750,500
2026-12-03,Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,2500,3000,2750,500
2026-12-03,Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Yam(Ratalu),4000,5000,4500,1000
