State,District,Market,Location_ID
Tamil Nadu,Thiruchirappalli,Manapparai(Uzhavar Sandhai ) APMC,1
Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,2
Tamil Nadu,Thiruchirappalli,Thiruverumbur(Uzhavar Sandhai ) APMC,3
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,4
Tamil Nadu,Thiruchirappalli,Manachanallur(Uzhavar Sandhai ) APMC,5
Tamil Nadu,Vellore,Gudiyatham(Uzhavar Sandhai ) APMC,6
Tamil Nadu,Vellore,Kahithapattarai(Uzhavar Sandhai ) APMC,7
Tamil Nadu,Virudhunagar,Rajapalayam(Uzhavar Sandhai ) APMC,8
Tamil Nadu,Virudhunagar,Sivakasi(Uzhavar Sandhai ) APMC,9
Tamil Nadu,Virudhunagar,Kariyapatti(Uzhavar Sandhai ) APMC,10
Tamil Nadu,Virudhunagar,Thalavaipuram(Uzhavar Sandhai ) APMC,11
Tamil Nadu,Nagercoil (Kannyiakumari),Myladi(Uzhavar Sandhai ) APMC,12
Tamil Nadu,Chengalpattu,Pallavaram(Uzhavar Sandhai ) APMC,13
Tamil Nadu,Chengalpattu,Nanganallur(Uzhavar Sandhai ) APMC,14
Tamil Nadu,Chengalpattu,Madhuranthagam(Uzhavar Sandhai ) APMC,15
Tamil Nadu,Chengalpattu,Jameenrayapettai(Uzhavar Sandhai ) APMC,16
Tamil Nadu,Chengalpattu,Thirukalukundram(Uzhavar Sandhai ) APMC,17
Tamil Nadu,Ranipet,Ranipettai(Uzhavar Sandhai ) APMC,18
Tamil Nadu,Ranipet,Arcot(Uzhavar Sandhai ) APMC,19
Tamil Nadu,Thirupur,Palladam(Uzhavar Sandhai ) APMC,20
Tamil Nadu,Thirupur,Tiruppur (South) (Uzhavar Sandhai ) APMC,21
Tamil Nadu,Thirupur,Dharapuram(Uzhavar Sandhai ) APMC,22
Tamil Nadu,Thirupur,Tiruppur (North) (Uzhavar Sandhai ) APMC,23
Tamil Nadu,Thirupur,Kangayam(Uzhavar Sandhai ) APMC,24
Tamil Nadu,Thirupathur,Natrampalli(Uzhavar Sandhai ) APMC,25
Tamil Nadu,Thirupathur,Vaniyampadi(Uzhavar Sandhai ) APMC,26
Tamil Nadu,Kallakuruchi,Kallakurichi(Uzhavar Sandhai ) APMC,27
Tamil Nadu,Kallakuruchi,Sankarapuram(Uzhavar Sandhai ) APMC,28
Tamil Nadu,Nagercoil (Kannyiakumari),Vadaseri APMC,29
Madhya Pradesh,Chhatarpur,Chhatarpur APMC,30
Madhya Pradesh,Mandla,Mandla APMC,31
Tamil Nadu,Salem,Ammapet(Uzhavar Sandhai ) APMC,32
Tamil Nadu,Theni,Periyakulam(Uzhavar Sandhai ) APMC,33
Tamil Nadu,Vellore,Thirupathur APMC,34
Tamil Nadu,Dharmapuri,Harur(Uzhavar Sandhai ) APMC,35
Tamil Nadu,The Nilgiris,Coonoor(Uzhavar Sandhai ) APMC,36
Tamil Nadu,The Nilgiris,Gudalur(Uzhavar Sandhai ) APMC,37
Tamil Nadu,Theni,Andipatti(Uzhavar Sandhai ) APMC,38
Tamil Nadu,Virudhunagar,Srivilliputhur(Uzhavar Sandhai ) APMC,39
Odisha,Bargarh,Attabira APMC,40
West Bengal,Paschim Bardhaman,Asansol APMC,41
Himachal Pradesh,Kangra,SMY Palampur,42
Rajasthan,Jalore,Jalore APMC,43
Punjab,Tarntaran,Patti APMC,44
Uttarakhand,Dehradoon,Vikasnagar APMC,45
Punjab,Amritsar,Rayya APMC,46
Kerala,Kottayam,Athirampuzha APMC,47
Uttar Pradesh,Mau(Maunathbhanjan),Kopaganj APMC,48
Tamil Nadu,Vellore,Vellore APMC,49
Bihar,Rohtas,Natwar APMC,50
Kerala,Pathanamthitta,Ezhamkulam APMC,51
Madhya Pradesh,Dhar,Kukshi APMC,52
Tamil Nadu,Kancheepuram,Tiruttani APMC,53
Kerala,Ernakulam,Kadungallur  VFPCK APMC,54
